No,カテゴリ,タイトル,想定キーワード,優先度,備考
1,G検定 概要,G検定とは？AIに詳しくない人でもわかる試験の全体像,G検定 とは,高,入門記事・最重要
2,G検定 概要,G検定の受験料・試験日程・申込方法【2026年最新版】,G検定 受験料 日程,高,年次更新で毎年リライトできる
3,G検定 概要,G検定の合格率・難易度を過去データから徹底分析,G検定 合格率 難易度,高,数字で差別化できる
4,G検定 概要,G検定の試験範囲・シラバスを分野別に解説,G検定 シラバス 試験範囲,高,改訂ごとにリライト可能
5,G検定 概要,G検定の試験形式・問題数・制限時間を徹底解説,G検定 問題数 形式,中,概要記事と統合も可
6,生成AIパスポート 概要,生成AIパスポートとは？AI初心者向けに試験の全体像を解説,生成AIパスポート とは,高,入門記事・最重要
7,生成AIパスポート 概要,生成AIパスポートの受験料・試験日程・申込方法【2026年最新版】,生成AIパスポート 受験料 日程,高,年次更新で毎年リライトできる
8,生成AIパスポート 概要,生成AIパスポートの合格率・難易度：75〜80%の意味を解説,生成AIパスポート 合格率 難易度,高,数字で差別化できる
9,生成AIパスポート 概要,生成AIパスポートのシラバス5章を分野別に解説,生成AIパスポート シラバス,高,改訂ごとにリライト可能
10,生成AIパスポート 概要,生成AIパスポートのシラバス改訂タイミングと注意点,生成AIパスポート シラバス 改訂,中,受験前に必ず読まれる記事
11,比較・選び方,G検定 vs 生成AIパスポート：どちらを先に受けるべきか判定チャート付き解説,G検定 生成AIパスポート 違い どっち,高,最も検索される比較記事
12,比較・選び方,G検定 vs ITパスポート：AI寄りの資格はどちらか？目的別おすすめ,G検定 ITパスポート 違い,高,競合が手薄なキーワード
13,比較・選び方,G検定 vs E資格：違いとキャリアパスの選び方,G検定 E資格 違い,中,G検定合格者の次の一手として需要あり
14,比較・選び方,生成AIパスポート vs ITパスポート：AI初心者はどちらから始めるべきか,生成AIパスポート ITパスポート 違い,中,初心者の検索意図に直撃
15,比較・選び方,AI資格一覧2026：難易度・費用・学習時間を徹底比較,AI資格 一覧 おすすめ,高,ハブ記事・内部リンクの起点
16,比較・選び方,AI資格は意味がない？取得価値を職種別に検証,AI資格 意味ない,高,否定キーワードは検索ボリューム大
17,比較・選び方,2026年に取るべきAI資格ランキング,AI資格 おすすめ 2026,高,年次更新で毎年リライトできる
18,G検定 勉強法,G検定の勉強法：文系・非エンジニアが合格するロードマップ,G検定 勉強法 文系,高,需要が最も多い勉強法記事
19,G検定 勉強法,G検定の勉強時間は何時間必要？レベル別の目安,G検定 勉強時間,高,受験決断前に必ず調べる
20,G検定 勉強法,G検定におすすめのテキスト・参考書【2026年版】,G検定 テキスト おすすめ,高,年次更新で毎年リライトできる
21,G検定 勉強法,G検定 社会人が働きながら合格するスケジュール管理術,G検定 社会人 勉強,中,ターゲットが明確で読まれやすい
22,G検定 勉強法,G検定の頻出用語50選：これだけ押さえれば合格に近づく,G検定 頻出 用語,高,一問一答への誘導導線になる
23,G検定 勉強法,G検定 直前1週間の最終仕上げ勉強法,G検定 直前 対策,中,模擬試験への誘導導線になる
24,生成AIパスポート 勉強法,生成AIパスポートの勉強法：最短20時間で合格するプラン,生成AIパスポート 勉強法,高,需要が最も多い勉強法記事
25,生成AIパスポート 勉強法,生成AIパスポートの勉強時間は何時間必要？レベル別の目安,生成AIパスポート 勉強時間,高,受験決断前に必ず調べる
26,生成AIパスポート 勉強法,生成AIパスポートにおすすめのテキスト・参考書【2026年版】,生成AIパスポート テキスト おすすめ,高,年次更新で毎年リライトできる
27,生成AIパスポート 勉強法,生成AIパスポートの頻出用語30選：これだけで合格ラインに乗る,生成AIパスポート 頻出 用語,高,一問一答への誘導導線になる
28,生成AIパスポート 勉強法,生成AIパスポート 直前3日間の最終仕上げ勉強法,生成AIパスポート 直前 対策,中,模擬試験への誘導導線になる
29,G検定 分野別解説,G検定「機械学習」分野の全要点と頻出問題,G検定 機械学習,中,分野別で検索する受験者に刺さる
30,G検定 分野別解説,G検定「ディープラーニング」分野の全要点と頻出問題,G検定 ディープラーニング,中,分野別で検索する受験者に刺さる
31,G検定 分野別解説,G検定「自然言語処理」分野の全要点と頻出問題,G検定 自然言語処理,中,分野別で検索する受験者に刺さる
32,G検定 分野別解説,G検定「AI倫理・法律」分野の全要点：個人情報保護法・著作権法,G検定 倫理 法律,中,法律改正時にリライト可能
33,G検定 分野別解説,G検定「数学・統計」分野の全要点：苦手な人向け解説,G検定 数学 統計 苦手,中,苦手意識で検索する層が一定数いる
34,G検定 分野別解説,G検定「AIの歴史」分野の全要点：年号と出来事の覚え方,G検定 AI 歴史,低,単体では検索ボリューム小・他記事に統合も可
35,生成AIパスポート 分野別解説,生成AIパスポート「プロンプトエンジニアリング」分野の全要点,生成AIパスポート プロンプト,中,実務との接点が多く読まれやすい
